,time,stockId,stockName,title,url
69,15/09/2023 21:14,07333,ＸＩ南方滬深三百,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501214_c.xlsx
70,15/09/2023 21:13,07233,ＸＬ二南方滬深三,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501212_c.xlsx
71,15/09/2023 21:13,01725,香港航天科技,財務報表/環境、社會及管治資料 - [中期/半年度報告],/listedco/listconews/sehk/2023/0915/2023091501210_c.pdf
72,15/09/2023 21:12,07348,ＸＩ南方Ａ５０,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501208_c.xlsx
73,15/09/2023 21:12,02420,子不語,公告及通告 - [股份計劃],/listedco/listconews/sehk/2023/0915/2023091501206_c.pdf
74,15/09/2023 21:09,0336040606,遠東宏信FE HORI N2403,債券及結構性產品 - [贖回或購回 － 債務證券],/listedco/listconews/sehk/2023/0915/2023091501204_c.pdf
75,15/09/2023 21:08,0302103076,富邦富時台灣富邦台灣半導體,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501202_c.xlsx
76,15/09/2023 21:08,07248,ＸＬ二南方Ａ５０,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501200_c.xlsx
77,15/09/2023 21:07,00007,智富資源投資,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/sehk/2023/0915/2023091501198_c.pdf
78,15/09/2023 21:07,07252,ＸＬ二南方中證券,槓桿及反向產品的交易資料,/listedco/listconews/sehk/2023/0915/2023091501196_c.xlsx
79,15/09/2023 21:06,03134,南方太陽能,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501194_c.xlsx
80,15/09/2023 21:06,03190,富邦滬深港高股息,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501192_c.xlsx
81,15/09/2023 21:05,00007,智富資源投資,公告及通告 - [更換董事或重要行政職能或職責的變更],/listedco/listconews/sehk/2023/0915/2023091501190_c.pdf
82,15/09/2023 21:05,03109,南方科創板５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501188_c.xlsx
83,15/09/2023 21:05,09958,力天影業,公告及通告 - [內幕消息],/listedco/listconews/sehk/2023/0915/2023091501186_c.pdf
84,15/09/2023 21:04,03070,平安香港高息股,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501184_c.xlsx
85,15/09/2023 21:04,03174,南方醫療健康,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501182_c.xlsx
86,15/09/2023 21:03,00721,中國金融國際,公告及通告 - [董事會召開日期],/listedco/listconews/sehk/2023/0915/2023091501180_c.pdf
87,15/09/2023 21:03,03003,南方明晟Ａ５０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501178_c.xlsx
88,15/09/2023 21:03,03080,平安中國國債,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501176_c.xlsx
89,15/09/2023 21:02,03004,南方東英越南３０,交易所買賣基金的交易資料,/listedco/listconews/sehk/2023/0915/2023091501174_c.xlsx
90,15/09/2023 21:00,045960615840116402254025040375405164057240715,ZHENROPPT SPCS正榮地產ZHENROPPT N2404ZHENROPPT N2403ZHENROPPT N2309ZHENROPPT N2502ZHENROPPT N2601ZHENROPPT N2608ZHENROPPT N2409,債券及結構性產品 - [其他 － 債務證券],/listedco/listconews/sehk/2023/0915/2023091501172_c.pdf
91,15/09/2023 20:56,01159,星光文化,憲章文件,/listedco/listconews/sehk/2023/0915/2023091501170_c.pdf
92,15/09/2023 20:55,03669,永達汽車,翌日披露報表 - [股份購回],/listedco/listconews/sehk/2023/0915/2023091501168_c.pdf
93,15/09/2023 20:52,00474,信銘生命科技,公告及通告 - [須予披露的交易],/listedco/listconews/sehk/2023/0915/2023091501166_c.pdf
94,15/09/2023 20:51,01159,星光文化,公告及通告 - [董事名單和他們的地位和作用],/listedco/listconews/sehk/2023/0915/2023091501164_c.pdf
